2017-06-30 19:37:25,519 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "create new activities", "end": "ActivitiesCreateKeyword"}, "context": null}
2017-06-30 19:37:25,520 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "start new activities", "end": "ActivitiesCreateKeyword"}, "context": null}
2017-06-30 19:37:25,520 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "create activities", "end": "ActivitiesCreateKeyword"}, "context": null}
2017-06-30 19:37:25,520 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "new activity", "end": "ActivitiesCreateKeyword"}, "context": null}
2017-06-30 19:37:25,521 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "new activities", "end": "ActivitiesCreateKeyword"}, "context": null}
2017-06-30 19:37:25,521 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "stop current activity", "end": "ActivitiesStopKeyword"}, "context": null}
2017-06-30 19:37:25,521 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "stop activity", "end": "ActivitiesStopKeyword"}, "context": null}
2017-06-30 19:37:25,522 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "show current activities", "end": "ActivitiesShowKeyword"}, "context": null}
2017-06-30 19:37:25,522 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "show activities", "end": "ActivitiesShowKeyword"}, "context": null}
2017-06-30 19:37:25,522 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "activities", "end": "ActivitiesShowKeyword"}, "context": null}
2017-06-30 19:37:25,523 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "display current activities", "end": "ActivitiesShowKeyword"}, "context": null}
2017-06-30 19:37:25,556 - Skills - DEBUG - {"type": "register_vocab", "data": {"start": "", "end": "KrunnerPlasmaDesktopSkillKeyword"}, "context": null}
